,Title,Year,Page Number,Subject
314,"  Nisqually Road Company. Memorial of the Legislature of Washington Territory, relative to an appropriation of lands to the Nisqually Road Company. March 28, 1864. -- Referred to the Committee on Roads and Canals and ordered to be printed.",1864,31.0,Transportation
324,"  John E. Luby. May 17 (calendar day, May 19), 1926. -- Ordered to be printed.",1926,32.0,Transportation
326,"  Breakwater at mouth of Delaware Bay. Resolutions of the Legislature of Pennsylvania, for completion of breakwater at mouth of Delaware Bay, and to repair the piers in the river, &c. March 23, 1852. Laid upon the table, and ordered to be printed.",1852,32.0,Transportation
328,"  Petition of a number of captains of steamboats and others interested in the navigation of the western rivers, praying the construction of a canal around the falls of the Ohio on the Indiana side. January 6, 1845. Referred to the Committee on Roads and Canals, and ordered to be printed.",1845,32.0,Transportation
334,"  Authorizing payment of indemnity to the government of Great Britain on account of losses sustained by the owners of the British steamship ""Mavisbrook."" March 25, 1926. -- Ordered to be printed.",1926,33.0,Transportation
336,"  Light-houses. Letter from the Secretary of the Treasury, transmitting a report respecting light-houses. March 3, 1851. Ordered to be printed.",1851,33.0,Transportation
337,"  Channel through shell reef. Letter from the Secretary of the Treasury, transmitting a report respecting the channel opened through shell reef. March 23, 1852. Referred to the Committee on Commerce, and ordered to be printed.",1852,33.0,Transportation
339,  Review of the report of the late commissioners for investigating the affairs of the joint companies : and of the operations of the managers of those companies,1850,33.0,Transportation
341,"  Aid for rural post roads. May 3 (calendar day, May 5), 1926. -- Ordered to be printed.",1926,34.0,Transportation
342,"  Operators' permits for drivers of government vehicles. February 5, 1927. -- Ordered to be printed.",1927,34.0,Transportation
343,"  Letter from the Third Auditor of the Treasury, to the Secretary of War, accompanied with a statement exhibiting the payments made in each year to officers of the Army, on account of transportation, since the last reduction of the Army, &c. January 23, 1823. Laid before the House by the Chairman of the Committee on Military Affairs, and ordered to be printed.",1823,34.0,Transportation
344,"  Report of the Secretary of War, communicating, in answer to a resolution of the Senate, estimates for the improvement of rivers and harbors in the State of New York. January 11, 1858. -- Ordered to lie on the table. Motion to print referred to the Committee on Printing. January 12, 1858. -- Report in favor of printing submitted, considered, and agreed to.",1858,34.0,Transportation
345,"  Answer of Robert F. Stockton in behalf of the joint board of the D. & R. canal and C. & A. R. R. companies, to a committee of the Senate of New Jersey, in relation to surrendering the works of the companies to the state : Read and ordered to be printed.",1854,34.0,Transportation
347,  A history of the transport services of the Egyptian Expeditionary Force 1916-1917-1918,1925,34.0,Transportation
348,"  Report on the agencies of transportation in the United States, including the statistics of railroads, steam navigation, canals, telegraphs, and telephones : complied and published pursuant to acts of Congress approved March 3, 1879, April 20, 1880, and August 7, 1882.",1883,34.0,Transportation
349,"  Samuel Byxbe. February 6, 1838. Read, and laid on the table.",1838,34.0,Transportation
354,"  Message from the President of the United States, transmitting (in compliance with a resolution of the 19th ult.), the correspondence with the British government relative to the improvement to the navigation within their jurisdiction, opposite to the coast of Florida. January 4, 1828. Printed by order of the Senate of the United States.",1828,35.0,Transportation
355,"  To the Honourable the Commons' House of Assembly of the province of Upper Canada in provincial Parliament assembled : the petition of sundry merchants connected in the forwarding business and others, inhabitants of the town of Kingston.",1823,35.0,Transportation
358,"  Report from the Secretary of the Navy, in obedience to a Resolution of the Senate concerning the seamen of the United States on foreign stations. February 2, 1832. -- Read. February 3, 1832. -- Ordered to be printed.",1832,35.0,Transportation
362,  Toronto and Georgian Bay Ship Railway : facts for the people.,1888,36.0,Transportation
363,  Relations with Canada : message from the President of the United States in relation to intercourse between the United States and Canada.,1888,36.0,Transportation
364,"  The necessity of a ship-canal between the East and the West : report of the Committee on Statistics for the city of Chicago, submitted to the National Convention assembled at Chicago, June 2, 1863.",1863,36.0,Transportation
365,  Routes in the Bombay Command,1903,36.0,Transportation
366,"  Dickensiana, or a few notes on the old coaching days of Nottingham & Grantham, culled from the storehouse of memory",1895,36.0,Transportation
367,"  Prospectus of the North-West Transportation, Navigation and Railway Company : chief office, Toronto, Canada.",1858,36.0,Transportation
368,  Memoranda and prospectus of the North-West Transportation and Land Company.,1858,36.0,Transportation
369,"  Guide for travelers : time tables of ocean and river steamers, railways, street cars and omnibus lines = Guide des voyageurs : le tableau des heures des bateaux de l'ocean et des rivières, chemins de fer, chars urbains et lignes d'omnibus.",1884,36.0,Transportation
370,  Cheap and rapid coaling in Nova Scotia.,1894,37.0,Transportation
372,  Charter and bye-laws of the Ottawa and Rideau Forwarding Company.,1872,37.0,Transportation
373,"  Report on Baie Verte Canal : 18 February, 1873 : with Mr. Gzowski's approval prefixed",1873,37.0,Transportation
374,"  For Canada, transportation the problem",1893,37.0,Transportation
375,  Measurement of the need for transporting pupils : basis for State equalization of transportation costs,1972,37.0,Transportation
380,"  Report of the Secretary of the Treasury, communicating, in compliance with a resolution of the Senate, information relative to providing more efficient means for the preservation of the lives of seamen and passengers wrecked on the coasts of New Jersey and Long Island. January 31, 1857. -- Referred to the Committee on Commerce, and ordered to be printed.",1857,38.0,Transportation
381,  The cattle trade of Great Britain and Ireland,1857,38.0,Transportation
382,"  Open them up : that is, all of our waterways in the great North-West : a succinct statement of what may be done for cheap transit",1885,38.0,Transportation
383,"  Donation of land for the improvement of White River. Memorial of the Legislature of Missouri, relative to a donation of land for the improvement of the navigation of White River. February 25, 1850. Referred to the Committee on Public Lands, and ordered to be printed.",1850,38.0,Transportation
385,"  Promotion of commercial aviation. December 14, 1925. -- Ordered to be printed.",1925,38.0,Transportation
386,"  Protection to Baltimore and Ohio Railroad and Chesapeake Canal. Letters from commanding generals in relation to military protection of Baltimore and Ohio Railroad and Chesapeake Canal. January 20, 1863. -- Read, referred to the Committee on Military Affairs, and ordered to be printed.",1863,38.0,Transportation
387,"  Ship canal around the falls of Niagara. (To accompany Bill H.R. No. 466.) January 25, 1838.",1838,38.0,Transportation
388,"  To grant to the City of Key West, Fla., a tract of land belonging to the United States naval hospital at that place. March 11, 1926. -- Ordered to be printed.",1926,38.0,Transportation
390,"  Five per cent. fund. Resolutions of the Legislature of the State of Wisconsin, relative to the payment of the five per cent. found due to said state for internal improvements. February 15, 1859. -- Laid upon the table and ordered to be printed.",1859,39.0,Transportation
